"","date","hits","geo","time","gprop","category"
"1",2004-01-01,37,"AR","all","web",569
"2",2004-02-01,38,"AR","all","web",569
"3",2004-03-01,41,"AR","all","web",569
"4",2004-04-01,48,"AR","all","web",569
"5",2004-05-01,47,"AR","all","web",569
"6",2004-06-01,48,"AR","all","web",569
"7",2004-07-01,60,"AR","all","web",569
"8",2004-08-01,50,"AR","all","web",569
"9",2004-09-01,54,"AR","all","web",569
"10",2004-10-01,52,"AR","all","web",569
"11",2004-11-01,54,"AR","all","web",569
"12",2004-12-01,47,"AR","all","web",569
"13",2005-01-01,44,"AR","all","web",569
"14",2005-02-01,50,"AR","all","web",569
"15",2005-03-01,50,"AR","all","web",569
"16",2005-04-01,55,"AR","all","web",569
"17",2005-05-01,54,"AR","all","web",569
"18",2005-06-01,54,"AR","all","web",569
"19",2005-07-01,65,"AR","all","web",569
"20",2005-08-01,64,"AR","all","web",569
"21",2005-09-01,62,"AR","all","web",569
"22",2005-10-01,66,"AR","all","web",569
"23",2005-11-01,66,"AR","all","web",569
"24",2005-12-01,65,"AR","all","web",569
"25",2006-01-01,50,"AR","all","web",569
"26",2006-02-01,66,"AR","all","web",569
"27",2006-03-01,57,"AR","all","web",569
"28",2006-04-01,64,"AR","all","web",569
"29",2006-05-01,62,"AR","all","web",569
"30",2006-06-01,56,"AR","all","web",569
"31",2006-07-01,90,"AR","all","web",569
"32",2006-08-01,82,"AR","all","web",569
"33",2006-09-01,77,"AR","all","web",569
"34",2006-10-01,62,"AR","all","web",569
"35",2006-11-01,67,"AR","all","web",569
"36",2006-12-01,56,"AR","all","web",569
"37",2007-01-01,60,"AR","all","web",569
"38",2007-02-01,64,"AR","all","web",569
"39",2007-03-01,70,"AR","all","web",569
"40",2007-04-01,75,"AR","all","web",569
"41",2007-05-01,69,"AR","all","web",569
"42",2007-06-01,74,"AR","all","web",569
"43",2007-07-01,85,"AR","all","web",569
"44",2007-08-01,86,"AR","all","web",569
"45",2007-09-01,75,"AR","all","web",569
"46",2007-10-01,59,"AR","all","web",569
"47",2007-11-01,60,"AR","all","web",569
"48",2007-12-01,48,"AR","all","web",569
"49",2008-01-01,47,"AR","all","web",569
"50",2008-02-01,54,"AR","all","web",569
"51",2008-03-01,50,"AR","all","web",569
"52",2008-04-01,53,"AR","all","web",569
"53",2008-05-01,52,"AR","all","web",569
"54",2008-06-01,55,"AR","all","web",569
"55",2008-07-01,60,"AR","all","web",569
"56",2008-08-01,60,"AR","all","web",569
"57",2008-09-01,60,"AR","all","web",569
"58",2008-10-01,45,"AR","all","web",569
"59",2008-11-01,41,"AR","all","web",569
"60",2008-12-01,39,"AR","all","web",569
"61",2009-01-01,38,"AR","all","web",569
"62",2009-02-01,39,"AR","all","web",569
"63",2009-03-01,38,"AR","all","web",569
"64",2009-04-01,40,"AR","all","web",569
"65",2009-05-01,42,"AR","all","web",569
"66",2009-06-01,37,"AR","all","web",569
"67",2009-07-01,41,"AR","all","web",569
"68",2009-08-01,42,"AR","all","web",569
"69",2009-09-01,46,"AR","all","web",569
"70",2009-10-01,41,"AR","all","web",569
"71",2009-11-01,38,"AR","all","web",569
"72",2009-12-01,34,"AR","all","web",569
"73",2010-01-01,34,"AR","all","web",569
"74",2010-02-01,34,"AR","all","web",569
"75",2010-03-01,33,"AR","all","web",569
"76",2010-04-01,31,"AR","all","web",569
"77",2010-05-01,32,"AR","all","web",569
"78",2010-06-01,30,"AR","all","web",569
"79",2010-07-01,41,"AR","all","web",569
