"","date","hits","geo","time","gprop","category"
"1",2004-01-01,"54","CN","all","web",569
"2",2004-02-01,"69","CN","all","web",569
"3",2004-03-01,"78","CN","all","web",569
"4",2004-04-01,"75","CN","all","web",569
"5",2004-05-01,"78","CN","all","web",569
"6",2004-06-01,"86","CN","all","web",569
"7",2004-07-01,"85","CN","all","web",569
"8",2004-08-01,"81","CN","all","web",569
"9",2004-09-01,"80","CN","all","web",569
"10",2004-10-01,"68","CN","all","web",569
"11",2004-11-01,"69","CN","all","web",569
"12",2004-12-01,"76","CN","all","web",569
"13",2005-01-01,"56","CN","all","web",569
"14",2005-02-01,"54","CN","all","web",569
"15",2005-03-01,"59","CN","all","web",569
"16",2005-04-01,"63","CN","all","web",569
"17",2005-05-01,"61","CN","all","web",569
"18",2005-06-01,"69","CN","all","web",569
"19",2005-07-01,"71","CN","all","web",569
"20",2005-08-01,"63","CN","all","web",569
"21",2005-09-01,"60","CN","all","web",569
"22",2005-10-01,"55","CN","all","web",569
"23",2005-11-01,"59","CN","all","web",569
"24",2005-12-01,"63","CN","all","web",569
"25",2006-01-01,"46","CN","all","web",569
"26",2006-02-01,"46","CN","all","web",569
"27",2006-03-01,"48","CN","all","web",569
"28",2006-04-01,"51","CN","all","web",569
"29",2006-05-01,"55","CN","all","web",569
"30",2006-06-01,"49","CN","all","web",569
"31",2006-07-01,"60","CN","all","web",569
"32",2006-08-01,"58","CN","all","web",569
"33",2006-09-01,"59","CN","all","web",569
"34",2006-10-01,"54","CN","all","web",569
"35",2006-11-01,"44","CN","all","web",569
"36",2006-12-01,"53","CN","all","web",569
"37",2007-01-01,"38","CN","all","web",569
"38",2007-02-01,"36","CN","all","web",569
"39",2007-03-01,"49","CN","all","web",569
"40",2007-04-01,"51","CN","all","web",569
"41",2007-05-01,"45","CN","all","web",569
"42",2007-06-01,"53","CN","all","web",569
"43",2007-07-01,"67","CN","all","web",569
"44",2007-08-01,"63","CN","all","web",569
"45",2007-09-01,"54","CN","all","web",569
"46",2007-10-01,"48","CN","all","web",569
"47",2007-11-01,"50","CN","all","web",569
"48",2007-12-01,"59","CN","all","web",569
"49",2008-01-01,"50","CN","all","web",569
"50",2008-02-01,"81","CN","all","web",569
"51",2008-03-01,"100","CN","all","web",569
"52",2008-04-01,"83","CN","all","web",569
"53",2008-05-01,"81","CN","all","web",569
"54",2008-06-01,"83","CN","all","web",569
"55",2008-07-01,"93","CN","all","web",569
"56",2008-08-01,"78","CN","all","web",569
"57",2008-09-01,"97","CN","all","web",569
"58",2008-10-01,"93","CN","all","web",569
"59",2008-11-01,"78","CN","all","web",569
"60",2008-12-01,"88","CN","all","web",569
"61",2009-01-01,"72","CN","all","web",569
"62",2009-02-01,"56","CN","all","web",569
"63",2009-03-01,"51","CN","all","web",569
"64",2009-04-01,"52","CN","all","web",569
"65",2009-05-01,"57","CN","all","web",569
"66",2009-06-01,"60","CN","all","web",569
"67",2009-07-01,"65","CN","all","web",569
"68",2009-08-01,"59","CN","all","web",569
"69",2009-09-01,"52","CN","all","web",569
"70",2009-10-01,"45","CN","all","web",569
"71",2009-11-01,"50","CN","all","web",569
"72",2009-12-01,"56","CN","all","web",569
"73",2010-01-01,"68","CN","all","web",569
"74",2010-02-01,"42","CN","all","web",569
"75",2010-03-01,"48","CN","all","web",569
"76",2010-04-01,"60","CN","all","web",569
"77",2010-05-01,"67","CN","all","web",569
"78",2010-06-01,"53","CN","all","web",569
"79",2010-07-01,"43","CN","all","web",569
"80",2010-08-01,"43","CN","all","web",569
"81",2010-09-01,"43","CN","all","web",569
"82",2010-10-01,"42","CN","all","web",569
"83",2010-11-01,"27","CN","all","web",569
"84",2010-12-01,"25","CN","all","web",569
"85",2011-01-01,"28","CN","all","web",569
"86",2011-02-01,"26","CN","all","web",569
"87",2011-03-01,"27","CN","all","web",569
"88",2011-04-01,"29","CN","all","web",569
"89",2011-05-01,"35","CN","all","web",569
"90",2011-06-01,"31","CN","all","web",569
"91",2011-07-01,"36","CN","all","web",569
"92",2011-08-01,"39","CN","all","web",569
"93",2011-09-01,"33","CN","all","web",569
"94",2011-10-01,"30","CN","all","web",569
"95",2011-11-01,"32","CN","all","web",569
"96",2011-12-01,"35","CN","all","web",569
"97",2012-01-01,"29","CN","all","web",569
"98",2012-02-01,"34","CN","all","web",569
"99",2012-03-01,"34","CN","all","web",569
"100",2012-04-01,"39","CN","all","web",569
"101",2012-05-01,"38","CN","all","web",569
"102",2012-06-01,"41","CN","all","web",569
"103",2012-07-01,"44","CN","all","web",569
"104",2012-08-01,"36","CN","all","web",569
"105",2012-09-01,"20","CN","all","web",569
"106",2012-10-01,"15","CN","all","web",569
"107",2012-11-01,"13","CN","all","web",569
"108",2012-12-01,"15","CN","all","web",569
"109",2013-01-01,"13","CN","all","web",569
"110",2013-02-01,"13","CN","all","web",569
"111",2013-03-01,"14","CN","all","web",569
"112",2013-04-01,"15","CN","all","web",569
"113",2013-05-01,"16","CN","all","web",569
"114",2013-06-01,"15","CN","all","web",569
"115",2013-07-01,"14","CN","all","web",569
"116",2013-08-01,"13","CN","all","web",569
"117",2013-09-01,"10","CN","all","web",569
"118",2013-10-01,"9","CN","all","web",569
"119",2013-11-01,"9","CN","all","web",569
"120",2013-12-01,"9","CN","all","web",569
"121",2014-01-01,"8","CN","all","web",569
"122",2014-02-01,"8","CN","all","web",569
"123",2014-03-01,"8","CN","all","web",569
"124",2014-04-01,"8","CN","all","web",569
"125",2014-05-01,"8","CN","all","web",569
"126",2014-06-01,"1","CN","all","web",569
"127",2014-07-01,"1","CN","all","web",569
"128",2014-08-01,"1","CN","all","web",569
"129",2014-09-01,"1","CN","all","web",569
"130",2014-10-01,"1","CN","all","web",569
"131",2014-11-01,"1","CN","all","web",569
"132",2014-12-01,"<1","CN","all","web",569
"133",2015-01-01,"<1","CN","all","web",569
"134",2015-02-01,"<1","CN","all","web",569
"135",2015-03-01,"<1","CN","all","web",569
"136",2015-04-01,"<1","CN","all","web",569
"137",2015-05-01,"<1","CN","all","web",569
"138",2015-06-01,"<1","CN","all","web",569
"139",2015-07-01,"<1","CN","all","web",569
"140",2015-08-01,"<1","CN","all","web",569
