"","name","id"
"1","All categories","0"
"3","Arts & Entertainment","3"
"5","Celebrities & Entertainment News","184"
"6","Comics & Animation","316"
"8","Animated Films","1104"
"9","Anime & Manga","317"
"10","Cartoons","319"
"11","Comics","318"
"12","Entertainment Industry","612"
"14","Film & TV Industry","1116"
"16","Film & TV Awards","1108"
"17","Film & TV Production","1117"
"18","Recording Industry","1115"
"20","Music Awards","1113"
"21","Record Labels","1114"
"22","Events & Listings","569"
"24","Clubs & Nightlife","188"
"25","Concerts & Music Festivals","891"
"26","Film Festivals","1086"
"27","Live Sporting Events","1273"
"28","Movie Listings & Theater Showtimes","1085"
"29","Ticket Sales","614"
"30","Fun & Trivia","539"
"32","Dress-Up & Fashion Games","1173"
"33","Flash-Based Entertainment","447"
"34","Fun Tests & Silly Surveys","1174"
"35","Humor","182"
"37","Comedy Films","1095"
"38","Live Comedy","895"
"39","Political Humor","1180"
"40","Spoofs & Satire","1244"
"41","TV Comedies","1047"
"42","Movies","34"
"44","Action & Adventure Films","1097"
"46","Martial Arts Films","1101"
"47","Superhero Films","1100"
"48","Western Films","1099"
"49","Animated Films","1104"
"50","Bollywood & South Asian Film","360"
"51","Classic Films","1102"
"53","Silent Films","1098"
"54","Comedy Films","1095"
"55","Cult & Indie Films","1103"
"56","Documentary Films","1072"
"57","Drama Films","1094"
"58","DVD & Video Shopping","210"
"60","DVD & Video Rentals","1145"
"61","Family Films","1291"
"62","Film & TV Awards","1108"
"63","Film Festivals","1086"
"64","Horror Films","615"
"65","Movie Memorabilia","213"
"66","Movie Reference","1106"
"68","Movie Reviews & Previews","1107"
"69","Musical Films","1105"
"70","Romance Films","1310"
"71","Science Fiction & Fantasy Films","616"
"72","Thriller, Crime & Mystery Films","1096"
"73","Music & Audio","35"
"75","CD & Audio Shopping","217"
"76","Classical Music","586"
"78","Opera","1185"
"79","Country Music","587"
"80","Dance & Electronic Music","588"
"81","Experimental & Industrial Music","1022"
"82","Folk & Traditional Music","1023"
"83","Jazz & Blues","589"
"85","Blues","1040"
"86","Jazz","42"
"87","Latin Pop","1285"
"88","Music Art & Memorabilia","218"
"89","Music Education & Instruction","1087"
"90","Music Equipment & Technology","1024"
"92","DJ Resources & Equipment","1025"
"93","Music Recording Technology","1026"
"94","Musical Instruments","216"
"96","Drums & Percussion","1327"
"97","Guitars","1325"
"98","Pianos & Keyboards","1326"
"99","Samples & Sound Libraries","1091"
"100","Music Reference","1027"
"102","Music Composition & Theory","1028"
"103","Sheet Music","892"
"104","Song Lyrics & Tabs","617"
"105","Music Streams & Downloads","220"
"106","Pop Music","1021"
"107","Radio","215"
"109","Podcasting","809"
"110","Talk Radio","1186"
"111","Religious Music","1020"
"113","Christian & Gospel Music","585"
"114","Rock Music","590"
"116","Classic Rock & Oldies","1037"
